project_id,text
0010c7cd-1530-59f2-9d90-3f7db4ada675,"Project: Tanode Villas 3 (villa) | Location: Choeng Thale, Thalang, Phuket | Description: Tanode Villas 3 is a house and villa project located in Choeng Thale, Phuket and was completed in Dec 2013. It has 9 units&nbsp;and was developed by Erawana, who is also behind Erawana Creek, Erawana Grand and Tanode Estate."
00277014-ed8b-5e89-9a5b-87bc98c10e29,"Project: Six Springs Villas (villa) | Location: Maret, Koh Samui, Surat Thani | Description: Six Springs Villas is a house and villa project located in Maret, Surat Thani and was completed in Mar 2026. It has 6 units across 2 floors&nbsp;and was developed by Ariaman Property Group LTD, who is also behind Arya Residences"
002a01ac-e6d9-59ca-9826-7d64cdbb2ffc,"Project: Phun Sin Condotown  (condominium) | Location: Hua Mak, Bang Kapi, Bangkok | Description: Phun Sin Condotown is a condo and apartment project located in Hua Mak, Bangkok and was completed in Jan 1993. It has 324 units across 8 floors"
003395b9-2393-5f58-9867-a8b013d50a6f,"Project: Whispering Palms Pattaya (condominium) | Location: Pong, Pattaya, Chon Buri | Description: Whispering Palms Pattaya is a house and villa project located in Pong, Pattaya and was completed in Jan 2013. It has 21 units&nbsp;and was developed by My Pattaya place"
0041a62c-2868-5b38-8b39-c3e7992a67f6,"Project: Zenith Place Sukhumvit (condominium) | Location: Phra Khanong Nuea, Watthana, Bangkok | Description: Zenith Place Sukhumvit is a condo and apartment project located in Phra Khanong Nuea, Bangkok and was completed in Jan 2008. It has 134 units across 8 floors&nbsp;and was developed by Mahasap Development, who is also behind Zitta Rama 2 and Zenith Place Sukhumvit 42."
005bb5cf-22d0-58fc-aa86-0c1cfa008eb8,"Project: Le Raffine Sukhumvit 24 (condominium) | Location: Khlong Tan, Khlong Toei, Bangkok | Description: Le Raffine Sukhumvit 24 is a condo and apartment project located in Khlong Tan, Bangkok and was completed in Jan 2005. It has 54 units across 30 floors&nbsp;and was developed by Le Raffiné 24, who is also behind Le Raffine Sukhumvit 39 and Le Raffine Jambunuda Sukhumvit 31."
00625717-a1a5-5176-95de-da9a215c35c5,"Project: Nue Evo Ari (condominium) | Location: Sam Sen Nai, Phaya Thai, Bangkok | Description: Nue Evo Ari is a condo and apartment project located in Sam Sen Nai, Bangkok and was completed in Jan 2025. It has 497 units across 42 floors&nbsp;and was developed by Noble Development, who is also behind NUE Epic Asok-Rama9, Nue Evo Pattanakarn and The Embassy Wireless."
0079c418-2842-5dba-8276-10aa529f5458,"Project: REACH Phahonyothin 52 (condominium) | Location: Khlong Thanon, Sai Mai, Bangkok | Description: REACH Phahonyothin 52 is a condo and apartment project located in Khlong Thanon, Bangkok and was completed in Dec 2019. It has 826 units across 8 floors&nbsp;and was developed by Regent Green Power, who is also behind Regent Home Wuttakat, Regent Home Bangna and RYE Huamak."
00875884-2d4d-555c-9618-1a32d6075eec,"Project: The Lakes (condominium) | Location: Khlong Toei, Khlong Toei, Bangkok | Description: The Lakes is a condo and apartment project located in Khlong Toei, Bangkok and was completed in Dec 2003. It has 165 units across 36 floors&nbsp;and was developed by Raimon Land PCL., who is also behind Tait Pattaya, One City Centre and Tait Sathorn 12."
008cc626-8941-54b2-834c-5fdb312d67df,"Project: The Base Wongsawang (condominium) | Location: Wong Sawang, Bang Sue, Bangkok | Description: The Base Wongsawang is a condo and apartment project located in Wong Sawang, Bangkok It has 684 units across 40 floors&nbsp;and was developed by Sansiri, who is also behind Love Charoen Nakhon, XELF by Sansiri and Widen By Sansiri."
0092a212-df0a-539d-8994-ba3174ef0494,"Project: Smart House Village 3 (villa) | Location: Thap Tai, Hua Hin, Prachuap Khiri Khan | Description: Smart House Village 3 is a house and villa project located in Thap Tai, Hua Hin and was completed in Dec 2014. It has 62 units across 1 floors&nbsp;and was developed by Smart House Hua Hin Co., Ltd., who is also behind Smart House Valley, Smart House Village 2 and Smart House Village 1."
00b4cdad-f25f-518a-ab0f-560c790065bd,"Project: The Tempo Phaholyothin (condominium) | Location: Sam Sen Nai, Phaya Thai, Bangkok | Description: The Tempo Phaholyothin is a condo and apartment project located in Sam Sen Nai, Bangkok and was completed in Jan 2011. It has 79 units across 8 floors"
00ced68a-45ae-5ea2-a7dc-cf992ff145f5,"Project: Atmos Prime Villa (condominium) | Location: Pong, Pattaya, Chon Buri | Description: Atmos Prime Villa is a house and villa project located in Pong, Pattaya It has 8 units&nbsp;and was developed by Srisub Development Co., Ltd."
720f8939-eda6-5a1e-997b-1cf7b659c85f,"Project: Suk Chai Village (villa) | Location: Tha Raeng, Bang Khen, Bangkok | Description: Suk Chai Village is a house and villa project located in Tha Raeng, Bangkok It has 134 units"
00db7603-9336-5377-80ce-a5fdf8e2e963,"Project: Panalee Banna Village (condominium) | Location: Huai Yai, Pattaya, Chon Buri | Description: Panalee Banna Village is a house and villa project located in Huai Yai, Pattaya and was completed in Jan 2014. It has 160 units&nbsp;and was developed by T-balance Property.,Ltd, who is also behind Panalee 1 and Panalee Village."
00de7b8e-aba1-5a29-ad32-98e379aa95c9,"Project: Arrow Place (condominium) | Location: Don Mueang, Don Mueang, Bangkok | Description: Arrow Place is a condo and apartment project located in Don Mueang, Bangkok and was completed in Jan 1992. It has 212 units"
00e5c48e-3f62-55cb-b03f-2d1a39e2b9bc,"Project: The Gentry Kaset - Nawamin (villa) | Location: Nawamin, Bueng Kum, Bangkok | Description: The Gentry Kaset - Nawamin is a house and villa project located in Nawamin, Bangkok and was completed in Jan 2023. It has 57 units&nbsp;and was developed by SC ASSET Corporation Public Company Limited, who is also behind Reference Kaset District, Reference Ekkamai and COBE Ladprao - Sutthisan."
00f72845-6a04-529c-b99a-2320afb02918,"Project: Dusit thani Pool Villa (villa) | Location: Choeng Thale, Thalang, Phuket | Description: Dusit thani Pool Villa is a house and villa project located in Choeng Thale, Phuket and was completed in Jul 2008. It has 26 units across 3 floors&nbsp;and was developed by Dusit Group, who is also behind Pristine Park 3, Dusit Grand Park 2 and Baan Dusit Garden 6."
00ff2d05-1a1a-5469-8301-5a5304c7f4e9,"Project: Star View (condominium) | Location: Bang Khlo, Bang Kho Laem, Bangkok | Description: Star View is a condo and apartment project located in Bang Khlo, Bangkok and was completed in Dec 2013. It has 556 units across 54 floors&nbsp;and was developed by Eastern Star Real Estate, who is also behind Quintara MHy’DEN Pho Nimit, Quintara MHy’ZEN Phrom Phong and Quintara MHy’GEN Ratchada - Huai Khwang."
01090b16-2ef6-5e67-9854-b5d39c729899,"Project: Blue Wave (condominium) | Location: Nong Kae, Hua Hin, Prachuap Khiri Khan | Description: Blue Wave is a condo and apartment project located in Nong Kae, Hua Hin and was completed in May 2008. It has 147 units across 14 floors"
0116b7bc-aa08-516f-aeb7-520f1c7c9c29,"Project: The Sukhothai Residences (condominium) | Location: Thung Mahamek, Sathon, Bangkok | Description: The Sukhothai Residences is a condo and apartment project located in Thung Mahamek, Bangkok and was completed in Dec 2009. It has 196 units across 41 floors&nbsp;and was developed by HKR International"
0118848c-44c3-5b2d-b896-98a898d32425,"Project: The Niche Taksin (condominium) | Location: Hiranruchi, Thon Buri, Bangkok | Description: The Niche Taksin is a condo and apartment project located in Hiranruchi, Bangkok and was completed in Jan 2011. It has 194 units across 20 floors"
012216ff-19cd-517a-a198-47c386b6ec5f,"Project: Amanta Lumpini (condominium) | Location: Thung Mahamek, Sathon, Bangkok | Description: Amanta Lumpini is a condo and apartment project located in Thung Mahamek, Bangkok and was completed in Dec 2008. It has 286 units across 61 floors&nbsp;and was developed by Narai Property, who is also behind Veva Priva, The Parkland Phetkasem 56 and The Parkland Charan - Pinklao."
012c191a-c6b5-5f9e-a774-002be25af869,"Project: A Space Asoke-Ratchada (condominium) | Location: Din Daeng, Din Daeng, Bangkok | Description: A Space Asoke-Ratchada is a condo and apartment project located in Din Daeng, Bangkok and was completed in Dec 2009. It has 2177 units across 14 floors&nbsp;and was developed by Areeya Property, who is also behind Noww Mega, A Space Mega 2  and The Village Bang Na-Wong Waen 4."
